Island,Group,Atoll,island_abbreviation,atoll_abbreviation,island_snake,lat,lon,rats_f,size,nonf,wetl,natf,mish,sava,beac,nonf_percent,wetl_percent,natf_percent,mish_percent,sava_percent,beac_percent,Ardenna.pacifica,Puffinus.bailloni,Phaethon.lepturus,Phaethon.rubricauda,Sula.dactylatra,Sula.sula,Sula.leucogaster,Fregeta.minor,Fregeta.ariel,Thalasseus.bergii,Sterna.dougallii,Sterna.sumatrana,Sternula.albifrons,Onychoprion.anaethetus,Onychoprion.fuscatus,Anous.stolidus,Anous.tenuirostris,Gygis.alba,dist,inha,seabird_sp,seabird_abundance,Island_duplicates,forage_avail_2022,forage_avail_2023,forage_access_2022,forage_access_2023,forage_avail_mean,forage_access_mean,RFB_veg,RFB_veg_percent
Petite Bois Mangue,Peros Banhos East,Peros Banhos,PEBM,PEBA,petite_bois_mangue,-5.269803,71.89585,absent,9.8,0,0,6,2.1,0,1.7,0,0,61.22448979591836,21.428571428571427,0,17.3469387755102,0,0,0,0,0,120,0,0,0,0,0,0,0,0,2000,82,14000,13,2,0,5,16215,Petite Bois Mangue,44,46,77.97807648768071,84.06754250640343,45,81.02280949704206,8.1,82.65306122448979
Manoel,Peros Banhos East,Peros Banhos,MANO,PEBA,manoel,-5.258815,71.923091,present,29.7,11.2,0,14.9,1.4,0.7,1.5,37.71043771043771,0,50.16835016835017,4.713804713804714,2.356902356902357,5.05050505050505,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,10,15,2,0,4,43,Manoel,45,47,80.89749741905675,84.0946064259058,46,82.49605192248127,16.3,54.882154882154886
Marlin (Not Named),Peros Banhos East,Peros Banhos,MARL,PEBA,marlin_not_named,-5.24975,71.949456,absent,0.3,0,0,0,0.1,0.1,0.1,0,0,0,33.333333333333336,33.333333333333336,33.333333333333336,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,3,Unnamed (Marlin),45,47,78.46964271341814,84.9201999591144,46,81.69492133626628,0.1,33.333333333333336
Yeye,Peros Banhos East,Peros Banhos,YEYE,PEBA,yeye,-5.243668,71.962258,present,59.6,39.7,0,0.4,0.3,16.2,3,66.61073825503357,0,0.6711409395973155,0.5033557046979865,27.181208053691275,5.033557046979865,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,32,55,45,2,1,4,147,Yeye,45,47,74.54582858464077,84.43918475957146,46,79.49250667210612,0.7,1.174496644295302
Petite Coquillage,Peros Banhos East,Peros Banhos,PETC,PEBA,petite_coquillage,-5.339626,71.973554,absent,18.3,0,0,5.1,4.8,6,2.4,0,0,27.86885245901639,26.22950819672131,32.78688524590164,13.114754098360654,0,0,0,0,0,125,0,0,0,0,0,0,0,0,20000,140,1850,20,2,0,5,22135,Petite Coquillage,47,49,77.24717695521022,80.489117363428,48,78.86814715931911,9.9,54.0983606557377
Grande Coquillage,Peros Banhos East,Peros Banhos,GRAC,PEBA,grande_coquillage,-5.372884,71.969779,absent,21.8,0,0,8.8,7.4,3.5,2.1,0,0,40.36697247706422,33.94495412844037,16.05504587155963,9.63302752293578,0,10,0,0,0,750,0,80,5,23,0,0,0,2,38000,125,1500,30,2,0,10,40525,Grand Coquillage,47,49,75.63343422949502,82.0729566523625,48,78.85319544092877,16.200000000000003,74.3119266055046
Coin du Mire,Peros Banhos East,Peros Banhos,CODM,PEBA,coin_du_mire,-5.427849,71.881207,absent,1.3,0,0,0,0,0.4,0.9,0,0,0,0,30.76923076923077,69.23076923076923,2,0,0,0,24,0,0,0,0,0,4,1,0,21,0,0,0,0,2,0,5,52,Coin de Mire,46,51,77.34832607008713,84.20733929955948,48.5,80.7778326848233,0,0
Vache Marine,Peros Banhos East,Peros Banhos,VACM,PEBA,vache_marine,-5.424362,71.830215,absent,11.4,2.4,0,1.5,5.9,0.2,1.4,21.052631578947366,0,13.157894736842104,51.75438596491229,1.7543859649122806,12.280701754385964,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,5,0,7,2,0,3,37,Vache Marine,47,50,80.92080662885472,82.22932670327107,48.5,81.5750666660629,7.4,64.9122807017544
Fouquet (PEBA),Peros Banhos West,Peros Banhos,FOUP,PEBA,fouquet_peba,-5.463051,71.811292,present,3.4,2,0,0.1,0.1,0,1.2,58.82352941176471,0,2.9411764705882355,2.9411764705882355,0,35.294117647058826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,2,8,Fouquet,48,52,78.94442784811791,85.20395735296003,50,82.07419260053896,0.2,5.882352941176471
Mapou du Coin,Peros Banhos West,Peros Banhos,MADC,PEBA,mapou_du_coin,-5.462513,71.792553,present,2,1.3,0,0,0.5,0.1,0.1,65,0,0,25,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,0,2,10,Mapou de Coin,47,51,80.19514135460699,84.40707346435107,49,82.30110740947903,0.5,25
Boddam,Salomon Islands,Salomon Islands,BODD,SOIS,boddam,-5.359236,72.206099,present,112.6,105.3,0.3,5.8,0.2,0.4,0.6,93.51687388987568,0.2664298401420959,5.1509769094138544,0.17761989342806395,0.35523978685612795,0.5328596802841918,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,10,30,3,1,4,66,Boddam,57,63,67.13992374595988,71.42374298941556,60,69.28183336768771,6.3,5.595026642984014
Diable,Salomon Islands,Salomon Islands,DIAB,SOIS,diable,-5.346204,72.203988,present,0.5,0,0,0.4,0,0,0.1,0,0,80,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,Diable,56,61,67.43259126045353,71.13295617347985,58.5,69.28277371696669,0.4,80
Anglaise (SOIS),Salomon Islands,Salomon Islands,ANGS,SOIS,anglaise_sois,-5.325724,72.222645,present,71.56,65.1,1.95,2.7,0.81,0.68,0.3,90.97261039686974,2.7249860257126888,3.773057574063723,1.1319172722191169,0.9502515371716044,0.41922861934041367,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,10,15,3,0,4,46,Anglaise,58,62,65.80208317276815,70.24290829373604,60,68.0224957332521,5.460000000000001,7.629960871995529
Passe (SOIS),Salomon Islands,Salomon Islands,PASS,SOIS,passe_sois,-5.302744,72.253219,absent,27.5,18.2,0.1,6.3,1.5,0.2,1.2,66.18181818181817,0.3636363636363637,22.90909090909091,5.454545454545454,0.7272727272727273,4.363636363636363,0,0,2,0,0,27,4,0,0,0,0,0,0,0,0,40,400,25,3,0,6,498,Passe,57,62,65.58814900388889,73.64875937937828,59.5,69.61845419163359,7.9,28.727272727272727
Mapou,Salomon Islands,Salomon Islands,MAPO,SOIS,mapou,-5.311378,72.264922,absent,4,0,0.3,3.1,0.4,0,0.2,0,7.5,77.5,10,0,5,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,60,1600,13,3,0,5,1774,Mapou,57,64,65.39522642514181,74.38277062875284,60.5,69.88899852694732,3.8,95
Takamaka,Salomon Islands,Salomon Islands,TAKA,SOIS,takamaka,-5.331605,72.27098,present,51.3,30.1,0,19.3,0.6,0,1.3,58.67446393762184,0,37.62183235867447,1.1695906432748535,0,2.53411306042885,0,0,5,0,0,302,0,0,0,0,0,25,0,0,0,65,100,25,3,0,6,522,Takamaka,58,66,64.28949997991589,73.57417193113386,62,68.93183595552487,19.9,38.79142300194932
Fouquet (SOIS),Salomon Islands,Salomon Islands,FOUS,SOIS,fouquet_sois,-5.341506,72.266621,present,45.4,33.4,0,11.5,0.2,0,0.3,73.56828193832598,0,25.33039647577093,0.4405286343612335,0,0.6607929515418502,0,0,1,0,0,17,0,0,0,0,3,53,0,0,0,25,0,10,3,0,6,109,Fouquet,59,66,63.9659538347964,72.55479633702102,62.5,68.2603750859087,11.7,25.77092511013216
Sepulture,Salomon Islands,Salomon Islands,SEPU,SOIS,sepulture,-5.349482,72.253583,present,1.5,0,0,0.9,0.1,0,0.5,0,0,60,6.666666666666667,0,33.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,3,0,2,7,Sepulture,58,66,65.47803787433014,72.2510707441477,62,68.86455430923891,1,66.66666666666667
Jacobin,Salomon Islands,Salomon Islands,JACO,SOIS,jacobin,-5.350455,72.245396,absent,1.5,0,0,1.4,0,0,0.1,0,0,93.33333333333331,0,0,6.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,3,0,2,7,Jacobin,58,66,65.61641029714652,72.19905829065122,62,68.90773429389887,1.4,93.33333333333331
Sel,Salomon Islands,Salomon Islands,SEL,SOIS,sel,-5.354883,72.226799,absent,2.1,0,0,1.8,0.2,0,0.1,0,0,85.71428571428571,9.523809523809524,0,4.761904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,2,4,Sel,56,64,66.29992727243608,71.79044620223715,60,69.04518673733662,2,95.23809523809524
Poule (SOIS),Salomon Islands,Salomon Islands,POUS,SOIS,poule_sois,-5.358853,72.221095,present,0.5,0,0,0.1,0.3,0,0.1,0,0,20,60,0,20,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,0,1,3,0,3,27,Poule,56,63,66.84641561553973,71.64236070225539,59.5,69.24438815889755,0.4,80
