BirdID,age,sex,Year,deployment_colony,tracking_duration,Island_Atoll,Island,Group,Atoll,lat,lon,rats_f,size,RFB_veg_percent,col_size_RFB_adults,seabird_sp_richness,seabird_abundance,forage_avail_mean,forage_access_mean,n_visits,total_visit_duration,n_visits_night,n_cpf,n_Prospect_Forage,n_Direct_Prospect
GY02216,Immature Basic 1,M,2022,Diego Garcia,58,Petite Bois Mangue_Peros Banhos,Petite Bois Mangue,Peros Banhos East,Peros Banhos,-5.269803,71.89585,absent,9.8,82.65306122448979,120,5,16215,45,81.02280949704206,0,0,0,0,0,0
GY02216,Immature Basic 1,M,2022,Diego Garcia,58,Petite Coquillage_Peros Banhos,Petite Coquillage,Peros Banhos East,Peros Banhos,-5.339626,71.973554,absent,18.3,54.0983606557377,125,5,22135,48,78.86814715931911,0,0,0,0,0,0
GY02216,Immature Basic 1,M,2022,Diego Garcia,58,Petite Mapou_Peros Banhos,Petite Mapou,Peros Banhos West,Peros Banhos,-5.273466,71.747108,present,10,25,22,3,29,40.5,87.82610898929416,0,0,0,0,0,0
GY02216,Immature Basic 1,M,2022,Diego Garcia,58,Petite Soeur_Peros Banhos,Petite Soeur,Peros Banhos West,Peros Banhos,-5.363282,71.75526,present,41.5,23.85542168674699,0,2,9,44,87.1404046570749,0,0,0,0,0,0
GY02216,Immature Basic 1,M,2022,Diego Garcia,58,Pierre_Peros Banhos,Pierre,Peros Banhos West,Peros Banhos,-5.293178,71.737468,present,150,28.333333333333332,3,3,13,41.5,87.391226361158,0,0,0,0,0,0
GY02216,Immature Basic 1,M,2022,Diego Garcia,58,Poule (PEBA)_Peros Banhos,Poule (PEBA),Peros Banhos West,Peros Banhos,-5.40571,71.750948,present,108,32.407407407407405,0,5,16,45.5,87.08631980241509,0,0,0,0,0,0
GY02216,Immature Basic 1,M,2022,Diego Garcia,58,Poule (SOIS)_Salomon Islands,Poule (SOIS),Salomon Islands,Salomon Islands,-5.358853,72.221095,present,0.5,80,0,3,27,59.5,69.24438815889755,0,0,0,0,0,0
GY02216,Immature Basic 1,M,2022,Diego Garcia,58,Resurgent_Great Chagos Bank,Resurgent,Brothers,Great Chagos Bank,-6.163492,71.52939,absent,0.5,0,0,5,158,50,78.9136835795077,0,0,0,0,0,0
GY02216,Immature Basic 1,M,2022,Diego Garcia,58,Saint Brandon_Peros Banhos,Saint Brandon,Peros Banhos East,Peros Banhos,-5.248639,71.834052,absent,0.25,0,0,1,1,43,86.77871289608099,0,0,0,0,0,0
GY02216,Immature Basic 1,M,2022,Diego Garcia,58,Sea Cow_Great Chagos Bank,Sea Cow,Eagle Islands,Great Chagos Bank,-6.235758,71.294717,absent,20.5,85.85365853658537,1400,9,2950,40.5,94.25930028135032,0,0,0,0,0,0
GY02216,Immature Basic 1,M,2022,Diego Garcia,58,Sel_Salomon Islands,Sel,Salomon Islands,Salomon Islands,-5.354883,72.226799,absent,2.1,95.23809523809524,0,2,4,60,69.04518673733662,0,0,0,0,0,0
GY02216,Immature Basic 1,M,2022,Diego Garcia,58,Sepulture_Salomon Islands,Sepulture,Salomon Islands,Salomon Islands,-5.349482,72.253583,present,1.5,66.66666666666667,0,2,7,62,68.86455430923891,0,0,0,0,0,0
GY02216,Immature Basic 1,M,2022,Diego Garcia,58,South Brother_Great Chagos Bank,South Brother,Brothers,Great Chagos Bank,-6.171536,71.540908,absent,23,75,105,9,22432,50.5,77.17300890651697,0,0,0,0,0,0
GY02216,Immature Basic 1,M,2022,Diego Garcia,58,Sudest complex_Egmont Islands,Sudest complex,Egmont Islands,Egmont Islands,-6.687426,71.385881,present,205.2,36.60331384015595,123,6,276,43.5,67.88415294222777,0,0,0,0,0,0
GY02216,Immature Basic 1,M,2022,Diego Garcia,58,Takamaka_Salomon Islands,Takamaka,Salomon Islands,Salomon Islands,-5.331605,72.27098,present,51.3,38.79142300194932,302,6,522,62,68.93183595552487,0,0,0,0,0,0
GY02216,Immature Basic 1,M,2022,Diego Garcia,58,Vache Marine_Peros Banhos,Vache Marine,Peros Banhos East,Peros Banhos,-5.424362,71.830215,absent,11.4,64.9122807017544,0,3,37,48.5,81.5750666660629,0,0,0,0,0,0
GY02216,Immature Basic 1,M,2022,Diego Garcia,58,Verte_Peros Banhos,Verte,Peros Banhos West,Peros Banhos,-5.328935,71.743485,present,3.8,78.94736842105263,3,3,5,42,89.34361286048757,0,0,0,0,0,0
